,Player,SCA,PassLive,PassDead,Drib,Sh_x,Fld_x,Def,GCA,CrdY_x,CrdR_x,2CrdY,Fls,Off_x,Crs_x,Int,TklW,Recov,Won,Dead,Str,TotDist,Ast_x,CrsPA,Touches,Succ,Att,Dis,SoT,Dist,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,G-PK,G+A-PK,Matches
19269,Suso,13.0,10.0,0.0,2.0,1.0,0.0,0.0,3.0,0,0,0,1,2,12,0,3,13.0,0.0,10.0,0.0,2081.0,1,2.0,215.0,7.0,12.0,2.0,2,23.2,es ESP,FWMF,Sevilla,es La Liga,27.0,8,6,384,4.3,0,0.23,Matches
19270,Bosko Sutalo,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,12,1,10,17,13,81.0,20.0,41.0,0.0,6066.0,0,1.0,615.0,10.0,19.0,6.0,1,18.5,hr CRO,DF,Hellas Verona,it Serie A,21.0,24,6,920,10.2,0,0.0,Matches
19271,Mattias Svanberg,62.0,45.0,10.0,3.0,1.0,2.0,1.0,6.0,7,0,0,37,0,50,28,15,132.0,22.0,58.0,1.0,12390.0,3,6.0,1328.0,28.0,53.0,22.0,13,21.0,se SWE,MF,Bologna,it Serie A,22.0,36,31,2564,28.5,3,0.21,Matches
19272,Michael Svoboda,6.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,0,9,0,1,10,17,98.0,26.0,26.0,0.0,10228.0,0,0.0,775.0,2.0,3.0,6.0,0,7.3,at AUT,DF,Venezia,it Serie A,22.0,18,13,1236,13.7,0,0.0,Matches
19273,Abdoulaye Sylla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,5,0,1,1,4,7.0,2.0,1.0,0.0,1122.0,0,0.0,90.0,0.0,0.0,0.0,0,,gn GUI,DF,Nantes,fr Ligue 1,21.0,2,2,157,1.7,0,0.0,Matches
19401,Mamadou Sylla,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,0,8,2,5,4,1,12.0,14.0,6.0,0.0,639.0,0,0.0,115.0,4.0,8.0,2.0,1,11.3,sn SEN,MFFW,Rayo Vallecano,es La Liga,27.0,12,1,253,2.8,0,0.0,Matches
19402,Ádám Szalai,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,10,5,0,0,2,11.0,8.0,1.0,0.0,439.0,0,0.0,125.0,3.0,6.0,7.0,3,13.2,hu HUN,FW,Mainz 05,de Bundesliga,33.0,12,2,260,2.9,1,0.35,Matches
19403,Wojciech Szczęsny,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,2,0,0,0,1,29.0,9.0,227.0,0.0,22169.0,0,0.0,1062.0,0.0,0.0,0.0,0,,pl POL,GK,Juventus,it Serie A,31.0,33,33,2970,33.0,0,0.0,Matches
19404,Dominik Szoboszlai,76.0,44.0,25.0,3.0,2.0,2.0,0.0,13.0,2,0,0,15,6,91,10,12,101.0,17.0,112.0,0.0,11212.0,8,9.0,1172.0,18.0,40.0,27.0,15,22.8,hu HUN,MF,RB Leipzig,de Bundesliga,20.0,31,15,1543,17.1,6,0.82,Matches
19405,Tachi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,3,0,2,1,3,13.0,4.0,14.0,0.0,1548.0,0,1.0,114.0,0.0,0.0,0.0,0,,es ESP,DF,Alavés,es La Liga,23.0,5,2,239,2.7,0,0.0,Matches
